PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
266021038,21208074,0,2021-11-15T23:15:00,"600 Block Arlington Ave Pittsburgh, PA 15203",Y,Allentown,3,DUI - GENERAL IMPAIRMENT,1786 Required Financial Responsibility. / 3802(a)(1) DUI - General Impairment,1803,3,3,-79.9938314752533,40.4267236083371
266022200,21208171,6,2021-11-16T05:05:00,"4400 Block Brownshill  Rd Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1403,,,0,0
266089136,21208423,11,2021-11-16T15:48:00,"4900 Block Kinley Ave Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.91372308898,40.3751919162624
266091967,21203903,10,2021-11-16T17:20:00,"1700 Block Broadway Ave Pittsburgh, PA 15216",Y,Beechview,6,TERRORISTIC THREATS,2709(a) Harassment. / 2706 Terroristic Threats. / 5506 Loitering and Prowling at Night,1916,4,5,-80.0252843254653,40.4084793962549
266100737,21208520,0,2021-11-16T19:00:00,"2100 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9994 PFA Service,509,6,3,-79.9806857398547,40.4470578842206
265502966,21203643,5,2021-11-08T09:30:00,"1700 Block Meadville St Pittsburgh, PA 15214",N,Fineview,1,BURGLARY,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2509,1,1,-80.0054424145934,40.4616758889699
265507696,21203641,5,2021-11-06T17:50:00,"1600 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,BURGLARY,3502 Burglary.,203,7,6,-79.9878583969023,40.4496706792142
265534082,21203868,5,2021-11-07T11:30:00,"6700 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,BURGLARY,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1405,,,0,0
266855894,21213213,10,2021-11-25T04:03:00,"1400 Block Firth St Pittsburgh, PA 15212",Y,Spring Garden,1,SIMPLE ASSAULT,2701 Simple Assault.,2412,1,1,-79.9883972704461,40.4622464435406
266893556,21213348,6,2021-11-25T13:04:00,"200 Block Rinne St Pittsburgh, PA 15210",N,Arlington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department,1603,1,1,-79.9936135100542,40.466590276641
266897184,21213405,5,2021-11-25T15:50:00,"100 Block Rhine Pl Pittsburgh, PA 15212",N,Spring Hill-City View,1,BURGLARY,3502 Burglary.,2620,1,1,-79.992041845149,40.4653596489546
264951547,21199477,99,2021-11-01T01:50:00,"600 Block Pressley St Pittsburgh, PA 15212",Y,East Allegheny,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2304,1,1,-79.9986796721415,40.4522188227154
264965171,21199597,14,2021-11-01T07:00:00,"5700 Block Kentucky Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,706,8,2,-79.9300283096561,40.4505326868439
264983185,21199588,27,2021-11-01T08:40:00,"Stanton Ave & N Highland Ave Pittsburgh, PA 15206",N,Highland Park,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1106,9,2,-79.921028236061,40.4696978684212
265001880,21199369,21,2021-10-31T20:28:00,"Pa Rt 837 & Riverton St Pittsburgh, PA 15207",N,Hays,4,DRIVING UNDER INFLUENCE,3731 Driving Under Influence of Alcohol or Controlled Substance / 3736 Reckless Driving,3101,,,0,0
265010631,21199933,99,2021-11-01T18:51:00,"Brownsville Rd & Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,3001,,,-79.9903529605142,40.4104172351457
265010882,21199924,6,2021-11-01T18:30:00,"1800 Block Westmoreland St Pittsburgh, PA 15210",Y,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass,2901,,,0,0
265022709,21200087,10,2021-11-02T01:35:00,"2900 Block Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,TERRORISTIC THREATS,2709(a) Harassment. / 2706 Terroristic Threats.,2018,2,5,-80.0512621204587,40.4551893197363
265028400,21200094,6,2021-11-02T02:19:00,"1000 Block Progress St Pittsburgh, PA 15212",Y,Troy Hill,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud / 3925 Receiving Stolen Property. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 5123 Contraband. / 9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.,2406,,,0,0
265032789,21200146,0,2021-11-02T06:10:00,"3700 Block Allendale Cir Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.0633247870113,40.4601418658255
265035154,21200149,0,2021-11-02T06:29:00,"3600 Block Allendale Cir Pittsburgh, PA 15204",N,Sheraden,6,99,9998 Overdose Other,2022,2,5,-80.0645673443027,40.4592973310726
266231853,21209235,10,2021-11-17T21:00:00,"200 Block Fleet St Pittsburgh, PA 15220",Y,Strip District,OSC,SIMPLE ASSAULT,2701 Simple Assault.,5599,,,-80.0493118974829,40.4209045458095
266233000,21209356,10,2021-11-18T03:04:00,"700 Block Anaheim St Pittsburgh, PA 15219",N,Upper Hill,2,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,506,6,3,-79.9631641346142,40.4526255342625
266270813,21209404,18,2021-11-18T07:20:00,"2000 Block Fairland St Pittsburgh, PA 15210",Y,Overbrook,3,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,3204,,,0,0
266281954,21209486,0,2021-11-18T10:24:00,"200 Block Renova St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1515,5,3,-79.9382289070553,40.4009634017502
-3556023961,21209719,99,2021-11-18T18:19:00,"20 Block Zimmerman St Pittsburgh, PA 15210",N,Brookline,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3206,4,5,-80.0026373725031,40.4000688487125
266345950,21209812,27,2021-11-18T21:19:00,"3300 Block Liberty Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,603,7,6,-79.9676622331227,40.4612873420187
265872969,21206708,27,2021-11-13T10:40:00,"1600 Block Antrim St Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2703,1,1,-80.0375720149799,40.4753022277362
265880270,21206345,6,2021-11-12T17:51:00,"1900 Block Wharton St Pittsburgh, PA 15203",Y,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1702,,,0,0
265880936,21206757,17,2021-11-13T07:00:00,Zone 3,Y,,3,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
265891720,21207000,6,2021-11-13T21:23:00,"Baum Blvd & S Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1115,9,2,-79.9249678403586,40.4604692148242
-2865014870,21207104,99,2021-11-14T01:30:00,"4300 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,FOUND PROPERTY,9489 Found Property,901,7,2,-79.9600458283935,40.4705854885513
265901575,21207086,27,2021-11-14T00:49:00,"1900 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.,2901,4,3,-79.9875088066487,40.3960603966568
265902353,21207190,0,2021-11-14T06:23:00,"2600 Block Banksville Rd Pittsburgh, PA 15216",N,Banksville,6,99,9999 9999 - (Misc. Incident): deer,2023,2,5,-80.0359166999089,40.4062564063563
264803641,21197521,27,2021-10-28T21:44:00,"6th Ave & Bigelow Blvd Pittsburgh, PA 15219",Y,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-79.994832117606,40.440417019361
264804147,21197542,14,2021-10-28T22:00:00,"500 Block Smith Way Pittsburgh, PA 15222",N,Central Business District,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,201,,,0,0
264835839,21197651,5,2021-10-29T05:54:00,"4700 Block Monongahela St Pittsburgh, PA 15207",Y,Hazelwood,4,BURGLARY,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1501,5,3,-79.9437525947838,40.4134989946425
264839652,21197703,27,2021-10-28T19:00:00,"1000 Block Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9885845210322,40.4294032193676
264840306,21197715,6,2021-10-28T16:00:00,"Washington Pl & Centre Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-79.991533571872,40.4404759670093
-3477251064,21197694,14,2021-10-29T08:00:00,"400 Block Beltzhoover Ave Pittsburgh, PA 15210",N,Allentown,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1803,3,5,-79.9973268558175,40.4190878546605
264842634,21197748,11,2021-10-29T09:12:00,"1600 Block Dellrose St Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2901,4,3,-79.9897931574835,40.400018399935
264844619,21197759,6,2021-10-29T09:15:00,"300 Block Devonshire St Pittsburgh, PA 15213",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,709,8,2,-79.946391887865,40.4535587660827
266103839,21208516,11,2021-11-16T19:20:00,"5400 Block Wellesley Ave Pittsburgh, PA 15206",N,Morningside,5,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,1014,7,2,-79.9298863984694,40.4757755047603
266108966,21208577,99,2021-11-16T20:02:00,"1800 Block Termon Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,MENTAL 201/302,9498 302 (Mental),2701,1,1,-80.0429498623801,40.482240412395
266115459,21208662,99,2021-11-16T23:15:00,"Banksville Rd & Potomac Ave Pittsburgh, PA 15216",N,Banksville,6,FOUND PROPERTY,9489 Found Property,2023,2,5,-80.040871966028,40.4033275879029
266117173,21208668,0,2021-11-17T00:13:00,"5500 Block Bryant St Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): ,1102,7,2,-79.9260673640034,40.4778449694821
266145042,21200898,10,2021-11-03T13:34:00,"7200 Block Susquehanna Skwy Pittsburgh, PA 15208",Y,Homewood South,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1303,,,0,0
265549045,21204064,6,2021-11-07T12:00:00,"Atwood St & Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,405,3,3,-79.9576291371076,40.4410980089075
-3417088516,21204250,6,2021-11-08T19:40:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1702,3,3,-79.976432641371,40.4303408118696
265581549,21204291,0,2021-11-09T11:30:00,"600 Block Paulson Ave Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): Intimate Partner Domestic ,1204,9,2,-79.9103991000789,40.4646086179298
-3541003396,21204236,99,2021-11-09T12:30:00,"100 Block Larimer Ave Pittsburgh, PA 15206",N,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1115,,,0,0
265585500,21204290,26,2021-11-07T18:30:00,"700 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,103,6,6,-79.9945910498533,40.4353346704734
265615950,21204490,10,2021-11-09T17:25:00,"900 Block Gerritt St Pittsburgh, PA 15208",Y,Homewood West,5,SIMPLE ASSAULT,2701 Simple Assault.,1207,9,2,-79.9021402428927,40.458618928476
265618981,21204563,0,2021-11-09T20:28:00,"1700 Block Kiralfy Ave Pittsburgh, PA 15216",Y,Beechview,6,99,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,1920,4,5,-80.0219979591373,40.4086426647362
266905283,21213497,5,2021-11-25T20:47:00,"200 Block 39th St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,BURGLARY,3502 Burglary.,603,,,0,0
266911676,21213533,0,2021-11-25T23:59:00,"5600 Block Munhall Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Forced entry for medical call ,1413,5,3,-79.9264413220056,40.4335664710893
266911808,21213543,6,2021-11-26T00:21:00,"300 Block Craft Ave Pittsburgh, PA 15213",N,South Oakland,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,409,3,3,-79.9613530522747,40.4353578534006
266929412,21213710,99,2021-11-26T10:33:00,"3800 Block O Hara St Pittsburgh, PA 15213",Y,North Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,403,,,0,0
266931442,21213600,4,2021-11-26T10:10:00,"3100 Block Frederick St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,AGG-ASSAULT,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 2706 Terroristic Threats. / 2701 Simple Assault. / 5503 Disorderly Conduct. / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,2715,1,1,-80.0308339778974,40.4733559324907
266938128,21213796,99,2021-11-26T16:22:00,"Schimmer St & Vensel Way Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,AIDED CASE,9497 Aided Case,2715,1,1,-80.029322092967,40.4736063854883
266940258,21210742,18,2021-11-20T15:53:00,"East Liberty Blvd & Penn Ave Pittsburgh, PA 15206",Y,Shadyside,4,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 1311 Registration Card to be Signed and Exhibited on Demand. / 4524 Windshield Obstructions and Wipers. / 3714 Careless Driving,708,8,2,-79.9174152996504,40.4574891313667
265081293,21200282,99,2021-10-27T10:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
265109239,21200637,10,2021-11-03T00:56:00,"W North Ave & Arch St Pittsburgh, PA 15212",N,California-Kirkbride,1,RECKLESSLY ENDANGER ANOTH PER,"2705 Recklessly Endangering Another Person. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 3736 Reckless Driving / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3733 Fleeing or Attempting to Elude Police Officer",2507,1,1,-80.0086312849831,40.4550987990407
266355952,21209947,0,2021-11-19T04:40:00,"2000 Block Waterford Pl Pittsburgh, PA 15201",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,,,0,0
266366834,21210039,6,2021-11-19T09:00:00,"100 Block Forbes Ave Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-80.0036985115803,40.4409256646993
266370287,21210065,14,2021-11-19T08:30:00,"2300 Block Almont St Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2904,4,3,-79.9880966279042,40.3879355152527
266374939,21210081,6,2021-11-19T08:00:00,"100 Block Lytton Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,403,8,3,-79.954633101577,40.4461006201583
-3218112206,21202608,0,2021-11-06T11:14:00,"1900 Block Mt Joseph St Pittsburgh, PA 15210",Y,Bedford Dwellings,2,99,9090 Recovered Firearm,509,4,3,-79.9897248639443,40.395379376394
266385865,21210210,10,2021-11-19T15:20:00,"6700 Block 5th Ave Pittsburgh, PA 15208",N,Point Breeze North,4,HARRASSMENT,2709 Harassment (Non-Specific),1405,9,2,-79.9123901169027,40.4540508647816
266387906,21210207,0,2021-11-19T16:00:00,"7200 Block Hermitage St Pittsburgh, PA 15208",N,Homewood North,5,99,9993 PFA Service with Weapons Supplement,1302,9,2,-79.8951528065961,40.4599975529862
266391791,21200906,99,2021-11-03T07:40:00,"500 Block Crane Ave Pittsburgh, PA 15216",N,Beechview,6,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1916,4,5,-80.0205109182843,40.4170641499677
-3325004474,21207450,6,2021-11-14T18:32:00,"7400 Block Idlewild St Pittsburgh, PA 15208",N,Homewood North,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.,1302,9,2,-79.8915697772041,40.4571624023638
265925996,21207459,4,2021-11-14T18:54:00,"Boggs Ave & Lelia St Pittsburgh, PA 15211",N,Mount Washington,3,AGG-ASSAULT,"2702 Aggravated Assault. / 2707.1 Discharge of a Firearm into Occupied Structure / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means / 607.13 Penalties for Discharging Firearms or Air Guns",1915,2,5,-80.0103377224795,40.4217913492692
265930300,21207406,99,2021-11-14T17:00:00,"Reedsdale St & Allegheny Ave Pittsburgh, PA 15233",N,Chateau,1,MENTAL 201/302,9498 302 (Mental),2108,1,6,-80.0178291521099,40.4480450255399
266015849,21208062,0,2021-11-15T21:55:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,4304(a)(2) Enhanced Endangering Welfare of Children - Child Protective Services (Course of Conduct),1106,9,2,-79.9086166765251,40.4703056329977
266020258,21208118,0,2021-11-16T01:45:00,"1200 Block Berry St Pittsburgh, PA 15204",N,Crafton Heights,6,99,8106 Shots Fired,2814,2,5,-80.0592938039045,40.45089245792
266020711,21208060,10,2021-11-15T22:00:00,"2700 Block Middletown Rd Pittsburgh, PA ",Y,Crafton Heights,6,SIMPLE ASSAULT,2701 Simple Assault.,2814,2,5,-80.0597145230953,40.4458501044079
266021550,21208104,0,2021-11-16T00:57:00,"Travella Blvd & Lincoln Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3736 Reckless Driving,1202,9,2,-79.8886007660747,40.4730000041647
264895020,21198508,4,2021-10-30T13:41:00,"200 Block Halket St Pittsburgh, PA 15213",Y,Central Oakland,4,AGG-ASSAULT,2702 Aggravated Assault. / 4906 False Reports to Law Enforcement Authorities.,405,3,3,-79.9612270118061,40.4384468865864
264915216,21198442,0,2021-10-30T11:59:00,"3300 Block Ward St Pittsburgh, PA 15213",Y,South Oakland,4,99,3353 Prohibitions in Specified Places. / 3353 Prohibitions in Specified Places.,409,3,3,-79.9549043321306,40.4331760065168
264954277,21199535,23,2021-11-01T04:39:00,"3100 Block Arlington Ave Pittsburgh, PA 15210",Y,Arlington Heights,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct.,1604,3,3,-79.9638266403949,40.4176344554422
266189436,21209014,0,2021-11-16T22:20:00,"Liberty Tunl Pittsburgh, PA 15210",N,Mount Washington,4,99,9999 9999 - (Misc. Incident): ,1914,,,0,0
266192623,21201595,10,2021-11-04T16:45:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3736 Reckless Driving,201,6,6,-79.9960409452176,40.4350395659105
266229869,21209290,99,2021-11-17T23:49:00,"100 Block E Sycamore St Pittsburgh, PA 15211",N,Mount Washington,3,AIDED CASE,9497 Aided Case,1914,2,5,-80.0217082314607,40.4341540634539
266331466,21209695,99,2021-11-18T17:02:00,"1300 Block Merryfield St Pittsburgh, PA 15204",N,Crafton Heights,6,AIDED CASE,9497 Aided Case,2814,2,5,-80.0579561480007,40.4481165760135
266333435,21209705,27,2021-11-17T21:00:00,"2300 Block Noblestown Rd Pittsburgh, PA 15205",N,Oakwood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2812,2,5,-80.0543527688347,40.4278403004268
265645307,21204767,0,2021-11-09T07:15:00,"S Dallas Ave & Aylesboro Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,99,9999 9999 - (Misc. Incident): ,1403,9,3,-79.912582288272,40.441122606478
265682886,21204915,99,2021-11-10T12:53:00,"5400 Block Penn Ave Pittsburgh, PA 15206",Y,Garfield,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1114,9,2,-79.9364169041137,40.4646627199602
265694087,21204992,10,2021-11-10T14:25:00,"Kirkpatrick St & 5th Ave Pittsburgh, PA 15219",N,West Oakland,4,TERRORISTIC THREATS,2706 Terroristic Threats.,402,6,3,-79.9728280778715,40.4377607965648
265703439,21205075,5,2021-11-10T15:00:00,"1200 Block Nolan Ct Pittsburgh, PA 15221",N,Homewood North,5,BURGLARY,3502 Burglary.,1301,9,2,-79.8868738733753,40.4594394730591
265709876,21205136,0,2021-11-10T18:25:00,"Shiloh St & Virginia Ave Pittsburgh, PA 15211",Y,Central Business District,3,99,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent / 2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent,1914,2,5,-80.007340481772,40.4294739449794
265711196,21205068,11,2021-11-10T16:12:00,"600 Block Olympia Rd Pittsburgh, PA 15211",N,Mount Washington,3,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception. / 4120 Identity Theft,1903,2,5,-80.0179693886002,40.4297751038859
265733289,21205397,99,2021-11-11T06:00:00,"5800 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,DRUG INVESTIGATION,9124 Drug Investigation,1403,8,3,-79.9233366419934,40.4414229997783
265734434,21204981,27,2021-11-10T14:10:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,9,2,-79.917435063919,40.4575134909614
266673284,21212200,10,2021-11-23T11:16:00,"5500 Block Stanton Ave Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1113,7,2,-79.9283252795667,40.4723059653236
266692240,21212235,14,2021-11-19T07:00:00,"4700 Block Monongahela St Pittsburgh, PA 15207",Y,Hazelwood,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1501,5,3,-79.9437525947838,40.4134989946425
265258518,21201426,27,2021-11-04T10:56:00,"100 Block Hawkins St Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2615,,,0,0
265695189,21205008,10,2021-11-09T13:19:00,"100 Block S Lang Ave Pittsburgh, PA 15208",N,Point Breeze,4,HARRASSMENT,2709 Harassment (Non-Specific),1406,8,3,-79.9052806212138,40.4489354851262
265698526,21205044,11,2021-11-10T00:01:00,"1200 Block Beechview Ave Pittsburgh, PA 15216",N,Beechview,6,IDENTITY THEFT,4120 Identity Theft,1916,4,5,-80.0251742255378,40.417039043873
265707931,21205147,10,2021-11-10T00:01:00,"5100 Block Rosecrest Pl Pittsburgh, PA 15201",N,Stanton Heights,5,HARRASSMENT,2709 Harassment (Non-Specific),1005,9,2,-79.9352151452669,40.476207000787
265710965,21205173,11,2021-11-10T00:01:00,"1600 Block Hatteras St Pittsburgh, PA 15212",N,Troy Hill,1,IDENTITY THEFT,4120 Identity Theft,2406,1,1,-79.9843331223889,40.4633097365362
265715009,21205221,27,2021-11-10T18:00:00,"Allegheny Sq E & East Commons Pittsburgh, PA 15212",N,Allegheny Center,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2204,1,1,-80.0038435737995,40.4534417582664
265716827,21205242,0,2021-11-08T19:00:00,"2200 Block Mary St Pittsburgh, PA 15203",N,South Side Flats,3,99,1786 Required Financial Responsibility.,1609,3,3,-79.9748722875734,40.4257270253247
264916728,21199039,6,2021-10-31T02:00:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1702,3,3,-79.976432641371,40.4303408118696
264917429,21199048,6,2021-10-30T13:00:00,"3700 Block Frazier St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle,409,3,3,-79.9546207780439,40.4293180630044
264918590,21199114,11,2021-10-29T12:30:00,"1200 Block Boyle St Pittsburgh, PA 15212",N,Central North Side,1,THEFT BY DECEPTION,3922 Theft by Deception.,2206,1,1,-80.0056567707517,40.4561374430675
264919534,21199915,99,2021-10-30T01:00:00,"1600 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,LOST PROPERTY,9504 Lost Property,1702,3,3,-79.9826498409866,40.428754714415
264920830,21199142,99,2021-10-30T10:00:00,"500 Block Wyncotte St Pittsburgh, PA 15204",N,Sheraden,6,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2018,2,5,-80.0548384895162,40.4589578766986
264921179,21199119,6,2021-10-30T23:50:00,"2700 Block Sumner St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1608,3,3,-79.9697956545633,40.4211357426248
264936428,21199284,6,2021-10-31T17:30:00,"5500 Block Centre Ave Pittsburgh, PA 15232",Y,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 9501 Bench Warrant,709,8,2,-79.9364516460773,40.4565706706801
264948586,21198854,10,2021-10-31T01:29:00,"3100 Block Bergman St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children. / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older,2018,2,5,-80.0548705885976,40.4568937273452
-3298092363,21199572,0,2021-11-01T08:14:00,"800 Block Eureka St Pittsburgh, PA 15210",N,Allentown,3,99,3744 Duty to Give Information and Render Aid,1803,3,5,-79.9936963645088,40.4236299703861
264970489,21199611,6,2021-11-01T09:25:00,"800 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.9989191960258,40.4426863590683
264977848,21199671,27,2021-11-01T11:20:00,"1700 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2901,4,5,-79.9984687460752,40.3960548362575
